# GLIDER Experiment Data
# Experiment Name,Untitled Experiment
# Start Time,2025-12-30T12:17:58.740258
# Sample Interval (s),0.1

# Boards
#,Arduino,telemetrix,Connected

# Devices
#,led_1,DigitalOutput,board=Arduino,output=13
#,input,AnalogInput,board=Arduino,input=0

timestamp,elapsed_ms,led_1:DigitalOutput,input:AnalogInput
2025-12-30T12:18:10.719,11978.9,0,0
2025-12-30T12:18:10.830,12090.4,0,0
2025-12-30T12:18:10.941,12201.7,0,0
2025-12-30T12:18:11.053,12313.1,0,0
2025-12-30T12:18:11.163,12423.7,0,0
2025-12-30T12:18:11.274,12534.6,0,0
2025-12-30T12:18:11.386,12646.5,0,0
2025-12-30T12:18:11.497,12757.3,0,0
2025-12-30T12:18:11.607,12867.3,0,0
2025-12-30T12:18:11.718,12978.6,0,0
2025-12-30T12:18:11.829,13089.1,0,0
2025-12-30T12:18:11.940,13200.3,0,0
2025-12-30T12:18:12.050,13310.0,0,0
2025-12-30T12:18:12.161,13421.2,0,0
2025-12-30T12:18:12.272,13531.9,0,0
2025-12-30T12:18:12.367,13626.9,0,0
2025-12-30T12:18:12.478,13738.3,0,0
2025-12-30T12:18:12.590,13849.9,0,0
2025-12-30T12:18:12.701,13961.1,0,0
2025-12-30T12:18:12.813,14073.3,0,0
2025-12-30T12:18:12.924,14183.8,0,0
2025-12-30T12:18:13.035,14295.5,0,0
2025-12-30T12:18:13.147,14406.9,0,0
2025-12-30T12:18:13.258,14517.9,0,0
2025-12-30T12:18:13.369,14629.0,0,0
2025-12-30T12:18:13.480,14740.6,0,0
2025-12-30T12:18:13.593,14853.4,0,0
2025-12-30T12:18:13.702,14962.2,0,0
2025-12-30T12:18:13.814,15074.3,0,0
2025-12-30T12:18:13.924,15184.6,0,0
2025-12-30T12:18:14.035,15295.6,0,0
2025-12-30T12:18:14.146,15406.4,0,0
2025-12-30T12:18:14.242,15501.8,0,0
2025-12-30T12:18:14.352,15612.6,0,0
2025-12-30T12:18:14.464,15724.1,0,0
2025-12-30T12:18:14.575,15835.4,0,0
2025-12-30T12:18:14.685,15945.6,0,0
2025-12-30T12:18:14.796,16056.6,0,0
2025-12-30T12:18:14.908,16167.9,0,0
2025-12-30T12:18:15.018,16278.0,0,0
2025-12-30T12:18:15.129,16388.8,0,0
2025-12-30T12:18:15.240,16499.8,0,0
2025-12-30T12:18:15.350,16610.7,0,0
2025-12-30T12:18:15.446,16706.0,0,0
2025-12-30T12:18:15.556,16816.2,0,0
2025-12-30T12:18:15.667,16926.9,0,0
2025-12-30T12:18:15.779,17039.1,0,0
2025-12-30T12:18:15.888,17148.2,0,0
2025-12-30T12:18:15.999,17259.7,0,0
2025-12-30T12:18:16.110,17370.7,0,0
2025-12-30T12:18:16.222,17482.3,0,0
2025-12-30T12:18:16.334,17594.3,0,0
2025-12-30T12:18:16.429,17689.4,0,0
2025-12-30T12:18:16.539,17799.5,0,0
2025-12-30T12:18:16.650,17910.5,0,0
2025-12-30T12:18:16.761,18021.2,0,0

# End Time,2025-12-30T12:18:16.835392
# Duration (s),18.10
