# GLIDER Experiment Data
# Experiment Name,Untitled Experiment
# Start Time,2025-12-29T17:45:54.375020
# Sample Interval (s),0.1

# Boards
#,ard,unknown,Connected

# Devices

timestamp,elapsed_ms
2025-12-29T17:45:54.491,116.7
2025-12-29T17:45:54.599,224.7
2025-12-29T17:45:54.708,333.7
2025-12-29T17:45:54.819,444.0
2025-12-29T17:45:54.929,554.5
2025-12-29T17:45:55.034,659.4
2025-12-29T17:45:55.142,767.8
2025-12-29T17:45:55.256,881.2
2025-12-29T17:45:55.365,990.6
2025-12-29T17:45:55.474,1099.0

# End Time,2025-12-29T17:45:55.494490
# Duration (s),1.12
