# GLIDER Experiment Data
# Experiment Name,Untitled Experiment
# Start Time,2025-12-27T15:13:13.915587
# Sample Interval (s),0.1

# Boards
#,ard,unknown,Connected

# Devices
#,led,DigitalOutput,board=ard,output=13
#,wire,DigitalInput,board=ard,input=8
#,touch_led,DigitalOutput,board=ard,output=11

timestamp,elapsed_ms,led:DigitalOutput,wire:DigitalInput,touch_led:DigitalOutput
2025-12-27T15:13:24.853,10937.7,1,0,0
2025-12-27T15:13:24.956,11040.5,1,0,0
2025-12-27T15:13:25.064,11148.9,1,0,0
2025-12-27T15:13:25.176,11261.1,1,0,0
2025-12-27T15:13:25.284,11368.8,1,0,0
2025-12-27T15:13:25.393,11478.1,1,0,0
2025-12-27T15:13:25.502,11587.4,1,0,0
2025-12-27T15:13:25.613,11697.8,1,0,0
2025-12-27T15:13:25.721,11806.2,1,0,0
2025-12-27T15:13:25.831,11915.7,1,0,0
2025-12-27T15:13:25.939,12023.7,0,0,0
2025-12-27T15:13:26.063,12147.4,0,0,0
2025-12-27T15:13:26.173,12258.2,0,0,0
2025-12-27T15:13:26.281,12366.2,0,0,0
2025-12-27T15:13:26.392,12476.4,0,0,0
2025-12-27T15:13:26.489,12574.1,0,0,0
2025-12-27T15:13:26.598,12682.7,0,0,0
2025-12-27T15:13:26.706,12790.9,0,0,0
2025-12-27T15:13:26.814,12899.0,0,0,0
2025-12-27T15:13:26.931,13015.6,0,0,0
2025-12-27T15:13:27.035,13120.1,0,0,0
2025-12-27T15:13:27.143,13228.4,0,0,0
2025-12-27T15:13:27.276,13360.6,0,0,0
2025-12-27T15:13:27.385,13469.9,0,0,0
2025-12-27T15:13:27.495,13580.0,0,0,0
2025-12-27T15:13:27.604,13688.6,0,0,0
2025-12-27T15:13:27.713,13798.1,0,0,0
2025-12-27T15:13:27.822,13907.4,0,0,0
2025-12-27T15:13:27.933,14017.4,0,0,0
2025-12-27T15:13:28.041,14126.0,0,0,0
2025-12-27T15:13:28.151,14235.7,0,0,0
2025-12-27T15:13:28.260,14345.0,0,0,0
2025-12-27T15:13:28.369,14454.3,0,0,0
2025-12-27T15:13:28.480,14564.6,0,0,0
2025-12-27T15:13:28.588,14673.0,0,0,0
2025-12-27T15:13:28.698,14783.2,0,0,0
2025-12-27T15:13:28.808,14892.5,0,0,0
2025-12-27T15:13:28.916,15001.3,0,0,0
2025-12-27T15:13:29.018,15103.3,1,0,0
2025-12-27T15:13:29.130,15214.8,1,0,0
2025-12-27T15:13:29.239,15324.0,1,0,0
2025-12-27T15:13:29.349,15434.3,1,0,0
2025-12-27T15:13:29.461,15545.8,1,0,0
2025-12-27T15:13:29.568,15653.0,1,0,0
2025-12-27T15:13:29.681,15765.9,1,0,0
2025-12-27T15:13:29.789,15874.3,1,1,0
2025-12-27T15:13:29.893,15978.4,1,1,0
2025-12-27T15:13:30.011,16095.7,1,1,0
2025-12-27T15:13:30.114,16199.3,1,1,0
2025-12-27T15:13:30.223,16308.4,1,1,0
2025-12-27T15:13:30.342,16427.3,1,1,0
2025-12-27T15:13:30.452,16536.7,1,0,0
2025-12-27T15:13:30.561,16646.3,1,0,0
2025-12-27T15:13:30.671,16755.5,1,0,0
2025-12-27T15:13:30.780,16864.8,1,0,0
2025-12-27T15:13:30.889,16974.3,1,1,0
2025-12-27T15:13:30.986,17070.7,0,1,0
2025-12-27T15:13:31.102,17186.7,0,1,0
2025-12-27T15:13:31.211,17296.2,0,1,0
2025-12-27T15:13:31.321,17406.3,0,1,0
2025-12-27T15:13:31.430,17515.0,0,0,0
2025-12-27T15:13:31.539,17624.2,0,0,0
2025-12-27T15:13:31.643,17728.1,0,0,0
2025-12-27T15:13:31.751,17836.4,0,0,0
2025-12-27T15:13:31.860,17945.1,0,0,0
2025-12-27T15:13:31.976,18061.3,0,1,0
2025-12-27T15:13:32.085,18170.1,0,1,0
2025-12-27T15:13:32.193,18278.2,0,1,0
2025-12-27T15:13:32.308,18392.6,0,1,0
2025-12-27T15:13:32.416,18501.3,0,0,0
2025-12-27T15:13:32.526,18610.7,0,0,0
2025-12-27T15:13:32.635,18720.0,0,0,0
2025-12-27T15:13:32.746,18830.6,0,1,0
2025-12-27T15:13:32.854,18938.8,0,1,0
2025-12-27T15:13:32.964,19048.5,0,1,0
2025-12-27T15:13:33.073,19157.6,0,1,0
2025-12-27T15:13:33.182,19266.7,0,1,0
2025-12-27T15:13:33.291,19376.3,0,1,0
2025-12-27T15:13:33.401,19485.8,0,1,0
2025-12-27T15:13:33.510,19595.0,0,1,0
2025-12-27T15:13:33.620,19704.4,0,1,0
2025-12-27T15:13:33.729,19814.1,0,1,0
2025-12-27T15:13:33.838,19923.3,0,1,0
2025-12-27T15:13:33.938,20023.2,1,1,0
2025-12-27T15:13:34.047,20132.4,1,1,0
2025-12-27T15:13:34.161,20246.0,1,1,0
2025-12-27T15:13:34.271,20356.1,1,1,0
2025-12-27T15:13:34.380,20464.8,1,1,0
2025-12-27T15:13:34.485,20570.2,1,0,0
2025-12-27T15:13:34.598,20682.5,1,0,0
2025-12-27T15:13:34.707,20791.5,1,1,0
2025-12-27T15:13:34.823,20907.6,1,1,0
2025-12-27T15:13:34.931,21015.7,1,1,0
2025-12-27T15:13:35.036,21120.7,1,1,0
2025-12-27T15:13:35.148,21232.5,1,1,0
2025-12-27T15:13:35.280,21364.6,1,1,0
2025-12-27T15:13:35.388,21473.4,1,1,0
2025-12-27T15:13:35.498,21583.2,1,1,0
2025-12-27T15:13:35.607,21692.1,1,0,0
2025-12-27T15:13:35.716,21801.3,1,0,0
2025-12-27T15:13:35.826,21910.8,1,0,0
2025-12-27T15:13:35.937,22021.5,0,0,0
2025-12-27T15:13:36.042,22126.7,0,1,0
2025-12-27T15:13:36.145,22230.4,0,1,0
2025-12-27T15:13:36.255,22339.9,0,1,0
2025-12-27T15:13:36.364,22449.3,0,1,0
2025-12-27T15:13:36.473,22557.4,0,1,0
2025-12-27T15:13:36.585,22670.1,0,1,0
2025-12-27T15:13:36.694,22778.4,0,1,0
2025-12-27T15:13:36.802,22886.6,0,1,0
2025-12-27T15:13:36.910,22995.0,0,1,0
2025-12-27T15:13:37.023,23107.6,0,1,0
2025-12-27T15:13:37.131,23215.9,0,1,0
2025-12-27T15:13:37.235,23320.1,0,1,0
2025-12-27T15:13:37.352,23436.5,0,1,0
2025-12-27T15:13:37.460,23544.8,0,1,0
2025-12-27T15:13:37.570,23654.5,0,1,0
2025-12-27T15:13:37.679,23763.6,0,0,0
2025-12-27T15:13:37.788,23873.3,0,0,0
2025-12-27T15:13:37.897,23982.3,0,0,0
2025-12-27T15:13:38.007,24092.1,0,0,0
2025-12-27T15:13:38.116,24201.2,0,1,0
2025-12-27T15:13:38.226,24311.3,0,1,0
2025-12-27T15:13:38.335,24419.9,0,1,0
2025-12-27T15:13:38.444,24529.4,0,0,0
2025-12-27T15:13:38.554,24639.2,0,0,0
2025-12-27T15:13:38.663,24748.0,0,0,0
2025-12-27T15:13:38.774,24858.5,0,0,0
2025-12-27T15:13:38.883,24967.5,0,0,0
2025-12-27T15:13:38.986,25070.8,1,0,0
