# GLIDER Experiment Data
# Experiment Name,Untitled Experiment
# Start Time,2025-12-27T13:34:55.578685
# Sample Interval (s),0.1

# Boards
#,ard,unknown,Connected

# Devices
#,led,DigitalOutput,board=ard,output=13
#,wire,DigitalInput,board=ard,input=8
#,touch_led,DigitalOutput,board=ard,output=11

timestamp,elapsed_ms,led:DigitalOutput,wire:DigitalInput,touch_led:DigitalOutput
2025-12-27T13:34:55.580,2.0,0,0,0
2025-12-27T13:34:55.693,114.9,1,0,0
2025-12-27T13:34:55.807,229.1,1,0,0
2025-12-27T13:34:55.908,329.7,1,0,0
2025-12-27T13:34:56.021,442.9,1,0,0
2025-12-27T13:34:56.126,547.9,1,0,0
2025-12-27T13:34:56.243,664.5,1,0,0
2025-12-27T13:34:56.346,768.0,1,0,0
2025-12-27T13:34:56.467,889.0,1,0,0
2025-12-27T13:34:56.567,988.5,1,0,0
2025-12-27T13:34:56.689,1110.9,1,0,0
2025-12-27T13:34:56.798,1220.2,1,0,0
2025-12-27T13:34:56.911,1332.3,1,0,0
2025-12-27T13:34:57.028,1449.7,1,0,0
2025-12-27T13:34:57.142,1563.8,1,0,0
2025-12-27T13:34:57.251,1673.2,1,0,0
2025-12-27T13:34:57.372,1793.8,1,0,0
2025-12-27T13:34:57.476,1898.0,1,0,0
2025-12-27T13:34:57.592,2013.8,1,0,0
2025-12-27T13:34:57.703,2124.7,0,0,0
2025-12-27T13:34:57.803,2224.6,0,0,0
2025-12-27T13:34:57.908,2329.6,0,0,0
2025-12-27T13:34:58.024,2445.9,0,0,0
2025-12-27T13:34:58.126,2548.3,0,0,0
2025-12-27T13:34:58.248,2670.1,0,0,0
2025-12-27T13:34:58.349,2771.0,0,0,0
2025-12-27T13:34:58.460,2882.0,0,0,0
2025-12-27T13:34:58.572,2993.9,0,0,0
2025-12-27T13:34:58.685,3106.5,0,0,0
2025-12-27T13:34:58.793,3215.1,0,0,0
2025-12-27T13:34:58.893,3314.7,0,0,0
2025-12-27T13:34:59.008,3430.2,0,0,0
2025-12-27T13:34:59.114,3535.4,0,0,0
2025-12-27T13:34:59.225,3646.9,0,0,0
2025-12-27T13:34:59.346,3767.7,0,0,0
2025-12-27T13:34:59.460,3882.3,0,0,0
2025-12-27T13:34:59.564,3986.1,0,0,0
2025-12-27T13:34:59.676,4098.0,0,0,0
2025-12-27T13:34:59.782,4203.9,0,0,0
2025-12-27T13:34:59.892,4314.2,0,0,0
2025-12-27T13:35:00.008,4429.6,0,0,0
2025-12-27T13:35:00.111,4533.2,0,0,0
2025-12-27T13:35:00.225,4647.2,0,0,0
2025-12-27T13:35:00.336,4757.9,0,0,0
2025-12-27T13:35:00.441,4863.2,0,0,0
2025-12-27T13:35:00.551,4973.2,0,0,0
2025-12-27T13:35:00.670,5092.0,1,0,0
2025-12-27T13:35:00.770,5191.5,1,0,0
2025-12-27T13:35:00.891,5313.1,1,0,0
2025-12-27T13:35:00.992,5413.6,1,0,0
2025-12-27T13:35:01.096,5517.9,1,0,0
2025-12-27T13:35:01.216,5638.0,1,0,0
2025-12-27T13:35:01.316,5737.4,1,0,0
2025-12-27T13:35:01.434,5855.8,1,0,0
2025-12-27T13:35:01.542,5964.2,1,0,0
2025-12-27T13:35:01.645,6066.7,1,0,0
2025-12-27T13:35:01.764,6186.0,1,0,0
2025-12-27T13:35:01.871,6293.1,1,0,0
2025-12-27T13:35:01.980,6402.0,1,0,0
2025-12-27T13:35:02.092,6514.0,1,0,0
2025-12-27T13:35:02.196,6617.4,1,0,0
2025-12-27T13:35:02.307,6728.6,1,0,0
2025-12-27T13:35:02.424,6845.9,1,0,0
2025-12-27T13:35:02.540,6961.5,1,0,0
2025-12-27T13:35:02.644,7065.4,0,0,0
2025-12-27T13:35:02.765,7186.7,0,0,0
2025-12-27T13:35:02.877,7298.4,0,0,0
2025-12-27T13:35:02.996,7418.3,0,0,0
2025-12-27T13:35:03.110,7531.4,0,0,0
2025-12-27T13:35:03.220,7641.7,0,0,0
2025-12-27T13:35:03.343,7764.5,0,0,0
2025-12-27T13:35:03.444,7865.4,0,0,0
2025-12-27T13:35:03.551,7973.0,0,0,0
2025-12-27T13:35:03.669,8090.5,0,0,0
2025-12-27T13:35:03.773,8194.4,0,0,0
2025-12-27T13:35:03.889,8310.8,0,0,0
2025-12-27T13:35:03.993,8414.8,0,0,0
2025-12-27T13:35:04.108,8529.8,0,0,0
2025-12-27T13:35:04.208,8630.1,0,0,0
2025-12-27T13:35:04.327,8748.9,0,0,0
2025-12-27T13:35:04.439,8861.0,0,0,0
2025-12-27T13:35:04.551,8973.0,0,0,0
2025-12-27T13:35:04.658,9079.6,0,0,0
2025-12-27T13:35:04.776,9198.1,0,0,0
2025-12-27T13:35:04.876,9298.2,0,0,0
2025-12-27T13:35:04.992,9413.9,0,0,0
2025-12-27T13:35:05.096,9517.6,0,0,0
2025-12-27T13:35:05.223,9645.2,0,0,0
2025-12-27T13:35:05.337,9758.6,0,0,0
2025-12-27T13:35:05.441,9863.3,0,0,0
2025-12-27T13:35:05.567,9989.0,0,0,0
2025-12-27T13:35:05.693,10115.3,1,0,0
2025-12-27T13:35:05.811,10233.1,1,0,0
2025-12-27T13:35:05.923,10345.1,1,0,0
2025-12-27T13:35:06.043,10464.9,1,0,0
2025-12-27T13:35:06.154,10576.1,1,0,0
2025-12-27T13:35:06.259,10680.4,1,0,0
2025-12-27T13:35:06.372,10793.6,1,0,0
2025-12-27T13:35:06.477,10899.0,1,0,0
2025-12-27T13:35:06.581,11002.5,1,0,0
2025-12-27T13:35:06.693,11114.7,1,0,0
2025-12-27T13:35:06.810,11231.6,1,0,0
2025-12-27T13:35:06.914,11335.9,1,0,0
2025-12-27T13:35:07.018,11439.6,1,0,0
2025-12-27T13:35:07.134,11555.4,1,0,0
2025-12-27T13:35:07.240,11662.1,1,0,0
2025-12-27T13:35:07.350,11771.7,1,0,0
2025-12-27T13:35:07.468,11889.7,1,0,0
2025-12-27T13:35:07.565,11986.8,1,0,0
2025-12-27T13:35:07.676,12097.8,0,0,0
2025-12-27T13:35:07.790,12211.5,0,0,0
2025-12-27T13:35:07.898,12319.5,0,0,0
2025-12-27T13:35:08.005,12427.0,0,0,0
2025-12-27T13:35:08.118,12539.7,0,0,0
2025-12-27T13:35:08.222,12643.9,0,0,0
2025-12-27T13:35:08.333,12754.4,0,0,0
2025-12-27T13:35:08.440,12861.9,0,0,0
2025-12-27T13:35:08.559,12980.6,0,0,0
2025-12-27T13:35:08.660,13081.5,0,0,0
2025-12-27T13:35:08.772,13193.3,0,0,0
2025-12-27T13:35:08.884,13305.4,0,0,0
2025-12-27T13:35:08.995,13416.4,0,0,0
2025-12-27T13:35:09.096,13517.7,0,0,0
2025-12-27T13:35:09.211,13632.8,0,0,0
2025-12-27T13:35:09.318,13739.7,0,0,0
2025-12-27T13:35:09.424,13845.4,0,0,0
2025-12-27T13:35:09.533,13955.1,0,0,0
2025-12-27T13:35:09.642,14064.1,0,0,0
2025-12-27T13:35:09.751,14173.0,0,0,0
2025-12-27T13:35:09.871,14292.5,0,0,0
2025-12-27T13:35:09.976,14398.3,0,0,0
2025-12-27T13:35:10.093,14514.9,0,0,0
2025-12-27T13:35:10.207,14629.1,0,0,0
2025-12-27T13:35:10.319,14740.6,0,0,0
2025-12-27T13:35:10.427,14849.0,0,0,0
2025-12-27T13:35:10.539,14961.2,0,0,0
2025-12-27T13:35:10.652,15073.5,1,0,0
2025-12-27T13:35:10.766,15187.6,1,0,0
2025-12-27T13:35:10.876,15298.1,1,0,0
2025-12-27T13:35:10.992,15413.9,1,0,0
2025-12-27T13:35:11.096,15517.5,1,0,0
2025-12-27T13:35:11.216,15638.1,1,0,0
2025-12-27T13:35:11.322,15744.0,1,0,0
2025-12-27T13:35:11.428,15849.9,1,0,0
2025-12-27T13:35:11.538,15960.1,1,0,0
