# GLIDER Experiment Data
# Experiment Name,Untitled Experiment
# Start Time,2025-12-30T12:58:50.698142
# Sample Interval (s),0.1

# Boards
#,Arduino,telemetrix,Connected

# Devices
#,led_1,DigitalOutput,board=Arduino,output=13
#,ana,AnalogInput,board=Arduino,input=14

timestamp,elapsed_ms,led_1:DigitalOutput,ana:AnalogInput
2025-12-30T12:59:02.779,12080.9,0,0
2025-12-30T12:59:02.890,12192.2,0,0
2025-12-30T12:59:03.000,12302.0,0,0
2025-12-30T12:59:03.112,12414.0,0,0
2025-12-30T12:59:03.223,12525.5,0,0
2025-12-30T12:59:03.336,12638.7,0,0
2025-12-30T12:59:03.447,12749.2,0,0
2025-12-30T12:59:03.557,12859.4,0,0
2025-12-30T12:59:03.670,12972.1,0,0
2025-12-30T12:59:03.782,13084.0,0,0
2025-12-30T12:59:03.893,13195.2,0,0
2025-12-30T12:59:04.004,13306.3,0,0
2025-12-30T12:59:04.116,13418.6,0,0
2025-12-30T12:59:04.212,13514.1,0,0
2025-12-30T12:59:04.323,13625.1,0,0
2025-12-30T12:59:04.435,13737.2,0,0
2025-12-30T12:59:04.544,13846.5,0,0
2025-12-30T12:59:04.655,13957.3,0,0
2025-12-30T12:59:04.767,14069.0,0,0
2025-12-30T12:59:04.877,14179.4,0,0
2025-12-30T12:59:04.989,14291.3,0,0
2025-12-30T12:59:05.102,14404.5,0,0
2025-12-30T12:59:05.212,14514.2,0,0
2025-12-30T12:59:05.323,14625.5,0,0
2025-12-30T12:59:05.434,14736.8,0,0
2025-12-30T12:59:05.546,14848.2,0,0
2025-12-30T12:59:05.658,14960.1,0,0
2025-12-30T12:59:05.770,15072.4,0,0
2025-12-30T12:59:05.883,15185.6,0,0
2025-12-30T12:59:05.995,15297.7,0,0
2025-12-30T12:59:06.105,15407.1,0,0
2025-12-30T12:59:06.217,15519.5,0,0
2025-12-30T12:59:06.329,15631.4,0,0
2025-12-30T12:59:06.441,15743.1,0,0
2025-12-30T12:59:06.552,15854.6,0,0
2025-12-30T12:59:06.648,15950.3,0,0
2025-12-30T12:59:06.760,16062.2,0,0
2025-12-30T12:59:06.871,16173.5,0,0
2025-12-30T12:59:06.983,16285.4,0,0
2025-12-30T12:59:07.094,16396.5,0,0
2025-12-30T12:59:07.206,16508.6,0,0
2025-12-30T12:59:07.317,16619.3,0,0
2025-12-30T12:59:07.428,16730.6,0,0
2025-12-30T12:59:07.540,16842.6,0,0
2025-12-30T12:59:07.652,16954.2,0,0
2025-12-30T12:59:07.764,17065.9,0,0
2025-12-30T12:59:07.878,17180.4,0,0
2025-12-30T12:59:07.987,17289.8,0,0
2025-12-30T12:59:08.099,17400.9,0,0
2025-12-30T12:59:08.211,17513.4,0,0
2025-12-30T12:59:08.305,17607.7,0,0
2025-12-30T12:59:08.418,17720.0,0,0
2025-12-30T12:59:08.530,17832.2,0,0
2025-12-30T12:59:08.642,17944.2,0,0
2025-12-30T12:59:08.753,18055.8,0,0
2025-12-30T12:59:08.866,18168.2,0,0
2025-12-30T12:59:08.962,18264.3,0,0
2025-12-30T12:59:09.074,18376.0,0,0
2025-12-30T12:59:09.185,18487.6,0,0
2025-12-30T12:59:09.297,18599.6,0,0
2025-12-30T12:59:09.410,18712.3,0,0
2025-12-30T12:59:09.519,18821.1,0,0
2025-12-30T12:59:09.631,18932.9,0,0
2025-12-30T12:59:09.741,19043.8,0,0
2025-12-30T12:59:09.853,19155.1,0,0
2025-12-30T12:59:09.965,19266.9,0,0
2025-12-30T12:59:10.078,19380.2,0,0
2025-12-30T12:59:10.188,19490.4,0,0
2025-12-30T12:59:10.300,19602.1,0,0
2025-12-30T12:59:10.413,19715.5,0,0
2025-12-30T12:59:10.523,19825.4,0,0
2025-12-30T12:59:10.635,19937.4,0,0
2025-12-30T12:59:10.747,20049.0,0,0
2025-12-30T12:59:10.858,20160.3,0,0
2025-12-30T12:59:10.969,20271.6,0,0
2025-12-30T12:59:11.081,20383.3,0,0
2025-12-30T12:59:11.193,20495.2,0,0
2025-12-30T12:59:11.305,20606.9,0,0
2025-12-30T12:59:11.418,20720.6,0,0
2025-12-30T12:59:11.528,20830.6,0,0
2025-12-30T12:59:11.641,20943.0,0,0
2025-12-30T12:59:11.750,21052.7,0,0
2025-12-30T12:59:11.861,21163.5,0,0
2025-12-30T12:59:11.974,21275.9,0,0
2025-12-30T12:59:12.085,21387.7,0,0
2025-12-30T12:59:12.196,21498.2,0,0
2025-12-30T12:59:12.307,21609.7,0,0
