# GLIDER Experiment Data
# Experiment Name,Untitled Experiment
# Start Time,2025-12-30T12:44:32.080601
# Sample Interval (s),0.1

# Boards
#,Arduino,telemetrix,Connected

# Devices
#,led_1,DigitalOutput,board=Arduino,output=13
#,analog,AnalogInput,board=Arduino,input=14

timestamp,elapsed_ms,led_1:DigitalOutput,analog:AnalogInput
2025-12-30T12:44:32.087,6.5,0,0
2025-12-30T12:44:32.201,120.7,0,0
2025-12-30T12:44:32.314,234.0,0,0
2025-12-30T12:44:32.426,345.6,0,0
2025-12-30T12:44:32.524,443.6,0,0
2025-12-30T12:44:32.634,554.1,0,0
2025-12-30T12:44:32.746,666.2,0,0
2025-12-30T12:44:32.857,776.5,0,0
2025-12-30T12:44:32.968,888.2,0,0
2025-12-30T12:44:33.080,1000.1,0,0
2025-12-30T12:44:33.189,1108.7,0,0
2025-12-30T12:44:33.300,1220.0,0,0
2025-12-30T12:44:33.405,1324.6,0,0
2025-12-30T12:44:33.513,1433.1,0,0
2025-12-30T12:44:33.625,1544.6,0,0
2025-12-30T12:44:33.738,1658.1,0,0
2025-12-30T12:44:33.848,1767.5,0,0
2025-12-30T12:44:33.949,1868.8,0,0
2025-12-30T12:44:34.058,1977.9,0,0
2025-12-30T12:44:34.168,2087.9,0,0
2025-12-30T12:44:34.278,2198.0,0,0
2025-12-30T12:44:34.387,2307.0,0,0
2025-12-30T12:44:34.494,2414.4,0,0
2025-12-30T12:44:34.604,2523.7,0,0
2025-12-30T12:44:34.723,2642.6,0,0
2025-12-30T12:44:34.834,2754.0,0,0
2025-12-30T12:44:34.929,2849.2,0,0
2025-12-30T12:44:35.041,2960.6,0,0
2025-12-30T12:44:35.149,3068.6,0,0
2025-12-30T12:44:35.257,3177.3,0,0
2025-12-30T12:44:35.367,3286.7,0,0
2025-12-30T12:44:35.481,3401.3,0,0
2025-12-30T12:44:35.587,3507.0,0,0
2025-12-30T12:44:35.694,3614.3,0,0
2025-12-30T12:44:35.809,3729.4,0,0
2025-12-30T12:44:35.918,3838.3,0,0
2025-12-30T12:44:36.023,3943.2,0,0
2025-12-30T12:44:36.136,4055.6,0,0
2025-12-30T12:44:36.245,4165.4,0,0
2025-12-30T12:44:36.357,4276.8,0,0
2025-12-30T12:44:36.464,4384.3,0,0
2025-12-30T12:44:36.572,4492.3,0,0
2025-12-30T12:44:36.683,4602.6,0,0
2025-12-30T12:44:36.791,4711.0,0,0
2025-12-30T12:44:36.906,4825.7,0,0
2025-12-30T12:44:37.015,4935.4,0,0
2025-12-30T12:44:37.128,5047.7,0,0
2025-12-30T12:44:37.238,5157.6,0,0
2025-12-30T12:44:37.337,5257.0,0,0
2025-12-30T12:44:37.444,5364.2,0,0
2025-12-30T12:44:37.556,5476.3,0,0
2025-12-30T12:44:37.663,5583.0,0,0
2025-12-30T12:44:37.780,5699.8,0,0
2025-12-30T12:44:37.882,5802.0,0,0
2025-12-30T12:44:37.997,5916.4,0,0
2025-12-30T12:44:38.106,6026.2,0,0
2025-12-30T12:44:38.215,6135.2,0,0
2025-12-30T12:44:38.324,6243.9,0,0
2025-12-30T12:44:38.433,6353.1,0,0
2025-12-30T12:44:38.549,6468.5,0,0
2025-12-30T12:44:38.651,6570.6,0,0
2025-12-30T12:44:38.766,6686.0,0,0
2025-12-30T12:44:38.871,6791.2,0,0
2025-12-30T12:44:38.978,6898.0,0,0
