# GLIDER Experiment Data
# Experiment Name,Untitled Experiment
# Start Time,2025-12-30T12:41:25.221260
# Sample Interval (s),0.1

# Boards
#,Arduino,telemetrix,Connected

# Devices
#,led_1,DigitalOutput,board=Arduino,output=13
#,analog,AnalogInput,board=Arduino,input=14

timestamp,elapsed_ms,led_1:DigitalOutput,analog:AnalogInput
2025-12-30T12:41:35.894,10673.2,0,1767120607
2025-12-30T12:41:35.997,10776.6,0,1767120607
2025-12-30T12:41:36.106,10885.3,0,1767120608
2025-12-30T12:41:36.222,11001.0,0,1767120608
2025-12-30T12:41:36.324,11103.5,0,1767120608
2025-12-30T12:41:36.434,11213.5,0,1767120608
2025-12-30T12:41:36.542,11321.3,0,1767120608
2025-12-30T12:41:36.657,11436.5,0,1767120608
2025-12-30T12:41:36.764,11543.6,0,1767120608
2025-12-30T12:41:36.874,11653.5,0,1767120608
2025-12-30T12:41:36.988,11767.1,0,1767120096
2025-12-30T12:41:37.094,11873.5,0,1767120353
2025-12-30T12:41:37.197,11976.1,0,1767120353
2025-12-30T12:41:37.306,12085.7,0,1767120353
2025-12-30T12:41:37.415,12194.1,0,1767120609
2025-12-30T12:41:37.525,12304.6,0,1767120353
2025-12-30T12:41:37.634,12412.8,0,1767120353
2025-12-30T12:41:37.749,12528.2,0,1767120353
2025-12-30T12:41:37.858,12637.7,0,1767120353
2025-12-30T12:41:37.963,12742.0,0,1767120353
2025-12-30T12:41:38.073,12852.1,0,1767120098
2025-12-30T12:41:38.185,12963.7,0,1767120354
2025-12-30T12:41:38.297,13076.5,0,1767120098
2025-12-30T12:41:38.403,13182.5,0,1767120866
2025-12-30T12:41:38.514,13292.9,0,1767120098
2025-12-30T12:41:38.622,13401.2,0,1767120098
2025-12-30T12:41:38.731,13509.8,0,1767120098
2025-12-30T12:41:38.840,13618.8,0,1767120354
2025-12-30T12:41:38.949,13728.5,0,1767120354
2025-12-30T12:41:39.058,13836.9,0,1767120355
2025-12-30T12:41:39.173,13951.8,0,1767120099
2025-12-30T12:41:39.277,14055.8,0,1767120099
2025-12-30T12:41:39.387,14166.3,0,1767120611
2025-12-30T12:41:39.499,14278.0,0,1767120099
2025-12-30T12:41:39.604,14383.0,0,1767120099
2025-12-30T12:41:39.722,14500.9,0,1767120867
2025-12-30T12:41:39.834,14613.1,0,1767120611
2025-12-30T12:41:39.944,14723.1,0,1767120099
2025-12-30T12:41:40.039,14818.6,0,1767120867
2025-12-30T12:41:40.150,14929.4,0,1767120868
2025-12-30T12:41:40.263,15041.9,0,1767120100
2025-12-30T12:41:40.366,15145.2,0,1767120612
2025-12-30T12:41:40.487,15265.8,0,1767120100
2025-12-30T12:41:40.585,15364.2,0,1767120612
2025-12-30T12:41:40.698,15477.6,0,1767120100
2025-12-30T12:41:40.809,15588.7,0,1767120612
2025-12-30T12:41:40.918,15697.2,0,1767120356
2025-12-30T12:41:41.033,15812.6,0,1767120356
2025-12-30T12:41:41.136,15915.4,0,1767120357
2025-12-30T12:41:41.252,16031.0,0,1767120357
2025-12-30T12:41:41.354,16133.6,0,1767120357
2025-12-30T12:41:41.463,16241.9,0,1767120357
2025-12-30T12:41:41.573,16352.6,0,1767120357
2025-12-30T12:41:41.681,16460.6,0,1767120869
2025-12-30T12:41:41.800,16579.2,0,1767120101
2025-12-30T12:41:41.900,16678.8,0,1767120101
2025-12-30T12:41:42.022,16801.1,0,1767120358
2025-12-30T12:41:42.125,16904.2,0,1767120102
2025-12-30T12:41:42.237,17016.7,0,1767120358
2025-12-30T12:41:42.337,17116.0,0,1767120614
2025-12-30T12:41:42.452,17231.2,0,1767120358
2025-12-30T12:41:42.567,17345.9,0,1767120870
2025-12-30T12:41:42.673,17451.9,0,1767120614
2025-12-30T12:41:42.773,17551.8,0,1767120102
2025-12-30T12:41:42.886,17665.2,0,1767120102
2025-12-30T12:41:43.005,17784.4,0,1767120102
2025-12-30T12:41:43.105,17884.0,0,1767120103
2025-12-30T12:41:43.222,18001.5,0,1767120103
2025-12-30T12:41:43.324,18102.9,0,1767120103
2025-12-30T12:41:43.434,18213.5,0,1767120359
2025-12-30T12:41:43.550,18329.6,0,1767120103
2025-12-30T12:41:43.649,18427.9,0,1767120359
2025-12-30T12:41:43.770,18549.3,0,1767120359
2025-12-30T12:41:43.872,18651.2,0,1767120359
2025-12-30T12:41:43.976,18755.0,0,1767120615
2025-12-30T12:41:44.088,18867.0,0,1767120104
2025-12-30T12:41:44.203,18982.0,0,1767120104
2025-12-30T12:41:44.309,19087.7,0,1767120104
2025-12-30T12:41:44.421,19200.4,0,1767120104
2025-12-30T12:41:44.535,19313.9,0,1767120616
2025-12-30T12:41:44.639,19417.9,0,1767120104
2025-12-30T12:41:44.748,19527.2,0,1767120104
2025-12-30T12:41:44.857,19636.1,0,1767120104
2025-12-30T12:41:44.961,19740.0,0,1767120104
2025-12-30T12:41:45.070,19849.5,0,1767120873
2025-12-30T12:41:45.185,19963.8,0,1767120361
2025-12-30T12:41:45.294,20073.1,0,1767120361
2025-12-30T12:41:45.397,20176.6,0,1767120105
2025-12-30T12:41:45.512,20291.0,0,1767120873
2025-12-30T12:41:45.630,20409.5,0,1767120361
2025-12-30T12:41:45.730,20508.7,0,1767120361
2025-12-30T12:41:45.837,20616.3,0,1767120361
2025-12-30T12:41:45.954,20733.5,0,1767120361
2025-12-30T12:41:46.057,20836.2,0,1767120362
2025-12-30T12:41:46.166,20945.3,0,1767120362
2025-12-30T12:41:46.278,21056.8,0,1767120362
2025-12-30T12:41:46.385,21164.0,0,1767120362
2025-12-30T12:41:46.499,21278.4,0,1767120362
2025-12-30T12:41:46.608,21387.5,0,1767120362
2025-12-30T12:41:46.715,21494.5,0,1767120362
2025-12-30T12:41:46.827,21605.8,0,1767120362
2025-12-30T12:41:46.944,21723.5,0,1767120106
2025-12-30T12:41:47.050,21829.0,0,1767120362
2025-12-30T12:41:47.149,21928.6,0,1767120363
2025-12-30T12:41:47.263,22042.4,0,1767120363
2025-12-30T12:41:47.373,22152.2,0,1767120107
2025-12-30T12:41:47.482,22260.9,0,1767120875
2025-12-30T12:41:47.592,22370.9,0,1767120107
2025-12-30T12:41:47.699,22478.6,0,1767120107
2025-12-30T12:41:47.809,22588.6,0,1767120107
2025-12-30T12:41:47.919,22698.6,0,1767120107
2025-12-30T12:41:48.028,22807.0,0,1767120107
2025-12-30T12:41:48.136,22914.9,0,1767120108
2025-12-30T12:41:48.242,23021.0,0,1767120108
2025-12-30T12:41:48.363,23142.7,0,1767120876
2025-12-30T12:41:48.464,23243.6,0,1767120108
2025-12-30T12:41:48.574,23353.1,0,1767120876
2025-12-30T12:41:48.688,23467.2,0,1767120108
2025-12-30T12:41:48.791,23570.6,0,1767120108
2025-12-30T12:41:48.901,23679.9,0,1767120108
2025-12-30T12:41:49.015,23794.2,0,1767120620
2025-12-30T12:41:49.118,23897.2,0,1767120365
2025-12-30T12:41:49.227,24005.8,0,1767120621
2025-12-30T12:41:49.339,24118.3,0,1767120109
2025-12-30T12:41:49.446,24225.2,0,1767120109
2025-12-30T12:41:49.554,24333.2,0,1767120365
2025-12-30T12:41:49.663,24442.7,0,1767120365
2025-12-30T12:41:49.775,24554.3,0,1767120365
2025-12-30T12:41:49.888,24667.0,0,1767120365
2025-12-30T12:41:49.991,24770.6,0,1767120365
2025-12-30T12:41:50.106,24885.6,0,1767120366
2025-12-30T12:41:50.215,24994.2,0,1767120622
2025-12-30T12:41:50.330,25109.5,0,1767120366
2025-12-30T12:41:50.433,25212.7,0,1767120110
2025-12-30T12:41:50.545,25324.1,0,1767120110
2025-12-30T12:41:50.658,25436.8,0,1767120622
2025-12-30T12:41:50.766,25545.0,0,1767120110
2025-12-30T12:41:50.876,25655.0,0,1767120366
2025-12-30T12:41:50.978,25757.4,0,1767120366
2025-12-30T12:41:51.094,25873.2,0,1767120111
2025-12-30T12:41:51.203,25982.7,0,1767120879
2025-12-30T12:41:51.306,26085.5,0,1767120367
2025-12-30T12:41:51.415,26194.4,0,1767120367
2025-12-30T12:41:51.524,26303.7,0,1767120367
2025-12-30T12:41:51.652,26431.6,0,1767120111
2025-12-30T12:41:51.768,26547.2,0,1767120367
2025-12-30T12:41:51.880,26659.2,0,1767120111
2025-12-30T12:41:51.992,26770.9,0,1767120111
2025-12-30T12:41:52.086,26865.3,0,1767120112
2025-12-30T12:41:52.197,26976.7,0,1767120368
2025-12-30T12:41:52.309,27087.9,0,1767120880
2025-12-30T12:41:52.418,27197.2,0,1767120368
2025-12-30T12:41:52.529,27308.0,0,1767120368
2025-12-30T12:41:52.640,27418.9,0,1767120624
2025-12-30T12:41:52.750,27529.7,0,1767120112
2025-12-30T12:41:52.862,27641.5,0,1767120880
2025-12-30T12:41:52.970,27748.9,0,1767120368
2025-12-30T12:41:53.072,27850.8,0,1767120113
2025-12-30T12:41:53.180,27959.6,0,1767120113
