# GLIDER Tracking Data
# Experiment,Untitled Experiment
# Start Time,2026-01-05T14:27:17.597861
# Calibration,Not calibrated (distances in pixels)

frame,timestamp,elapsed_ms,object_id,class,x,y,w,h,confidence,center_x,center_y,distance_px,distance_mm,cumulative_mm
22,2026-01-05T14:27:18.311,713.3,1,person,70,224,405,255,0.893,272.5,351.5,3.16,20.00,528.96
23,2026-01-05T14:27:18.345,747.3,1,person,71,216,416,262,0.872,279.0,347.0,7.91,50.00,578.95
24,2026-01-05T14:27:18.377,779.3,1,person,72,212,423,266,0.866,283.5,345.0,4.92,31.14,610.10
25,2026-01-05T14:27:18.408,810.3,1,person,70,207,431,271,0.862,285.5,342.5,3.20,20.25,630.35
26,2026-01-05T14:27:18.443,845.3,1,person,74,204,437,275,0.868,292.5,341.5,7.07,44.72,675.06
27,2026-01-05T14:27:18.476,878.3,1,person,78,202,442,277,0.855,299.0,340.5,6.58,41.59,716.66
28,2026-01-05T14:27:18.511,913.3,1,person,82,197,451,282,0.862,307.5,338.0,8.86,56.03,772.69
29,2026-01-05T14:27:18.548,950.9,1,person,82,193,461,286,0.868,312.5,336.0,5.39,34.06,806.74
30,2026-01-05T14:27:18.584,986.9,1,person,86,189,470,290,0.879,321.0,334.0,8.73,55.22,861.97
31,2026-01-05T14:27:18.624,1026.3,1,person,88,185,480,293,0.876,328.0,331.5,7.43,47.01,908.98
32,2026-01-05T14:27:18.657,1059.3,1,person,91,181,492,297,0.875,337.0,329.5,9.22,58.31,967.28
33,2026-01-05T14:27:18.690,1092.3,1,person,90,178,502,300,0.869,341.0,328.0,4.27,27.02,994.30
34,2026-01-05T14:27:18.723,1125.5,1,person,64,174,519,305,0.864,323.5,326.5,17.56,111.08,1105.38
35,2026-01-05T14:27:18.762,1164.5,1,person,46,169,535,310,0.859,313.5,324.0,10.31,65.19,1170.57
36,2026-01-05T14:27:18.797,1199.5,1,person,35,165,549,314,0.849,309.5,322.0,4.47,28.28,1198.85
37,2026-01-05T14:27:18.831,1233.5,1,person,26,160,562,318,0.878,307.0,319.0,3.91,24.70,1223.55
38,2026-01-05T14:27:18.865,1267.5,1,person,18,156,573,323,0.877,304.5,317.5,2.92,18.44,1241.99
39,2026-01-05T14:27:18.900,1302.5,1,person,8,150,583,328,0.864,299.5,314.0,6.10,38.60,1280.58
40,2026-01-05T14:27:18.935,1337.5,1,person,0,144,591,334,0.873,295.5,311.0,5.00,31.62,1312.20
41,2026-01-05T14:27:18.969,1371.5,1,person,0,138,590,340,0.889,295.0,308.0,3.04,19.23,1331.44
42,2026-01-05T14:27:19.002,1404.5,1,person,0,131,587,348,0.881,293.5,305.0,3.35,21.21,1352.65
43,2026-01-05T14:27:19.033,1436.0,1,person,0,127,601,352,0.891,300.5,303.0,7.28,46.04,1398.69
44,2026-01-05T14:27:19.065,1467.2,1,person,17,126,589,352,0.890,311.5,302.0,11.05,69.85,1468.55
45,2026-01-05T14:27:19.101,1503.2,1,person,74,127,565,351,0.878,356.5,302.5,45.00,284.61,1753.15
46,2026-01-05T14:27:19.144,1546.2,1,person,82,130,551,349,0.830,357.5,304.5,2.24,14.14,1767.29
47,2026-01-05T14:27:19.177,1579.2,1,person,122,134,517,344,0.812,380.5,306.0,23.05,145.77,1913.06
48,2026-01-05T14:27:19.210,1612.2,1,person,153,139,486,339,0.911,396.0,308.5,15.70,99.29,2012.35
49,2026-01-05T14:27:19.243,1645.2,1,person,169,144,470,334,0.878,404.0,311.0,8.38,53.01,2065.36
50,2026-01-05T14:27:19.277,1679.2,1,person,189,151,450,328,0.906,414.0,315.0,10.77,68.11,2133.47
51,2026-01-05T14:27:19.312,1714.2,1,person,209,157,430,321,0.913,424.0,317.5,10.31,65.19,2198.66
52,2026-01-05T14:27:19.344,1746.2,1,person,224,163,415,315,0.908,431.5,320.5,8.08,51.09,2249.75
53,2026-01-05T14:27:19.379,1781.2,1,person,237,169,402,309,0.907,438.0,323.5,7.16,45.27,2295.02
54,2026-01-05T14:27:19.414,1816.2,1,person,256,175,383,304,0.928,447.5,327.0,10.12,64.03,2359.05
55,2026-01-05T14:27:19.449,1851.2,1,person,271,180,368,299,0.924,455.0,329.5,7.91,50.00,2409.04
56,2026-01-05T14:27:19.482,1884.2,1,person,286,184,353,294,0.925,462.5,331.0,7.65,48.37,2457.42
57,2026-01-05T14:27:19.518,1920.2,1,person,298,188,341,291,0.926,468.5,333.5,6.50,41.11,2498.52
58,2026-01-05T14:27:19.551,1953.2,1,person,309,191,330,287,0.932,474.0,334.5,5.59,35.35,2533.88
59,2026-01-05T14:27:19.585,1987.7,1,person,317,194,322,285,0.924,478.0,336.5,4.47,28.28,2562.16
60,2026-01-05T14:27:19.617,2019.7,1,person,325,196,314,282,0.908,482.0,337.0,4.03,25.49,2587.65
61,2026-01-05T14:27:19.648,2050.7,1,person,331,199,308,279,0.917,485.0,338.5,3.35,21.21,2608.87
62,2026-01-05T14:27:19.679,2081.7,1,person,336,201,303,277,0.928,487.5,339.5,2.69,17.03,2625.89
63,2026-01-05T14:27:19.710,2112.7,1,person,340,203,299,275,0.937,489.5,340.5,2.24,14.14,2640.03
64,2026-01-05T14:27:19.742,2144.7,1,person,345,206,294,273,0.937,492.0,342.5,3.20,20.25,2660.28
65,2026-01-05T14:27:19.772,2174.7,1,person,349,208,290,271,0.938,494.0,343.5,2.24,14.14,2674.42
66,2026-01-05T14:27:19.806,2208.7,1,person,352,209,287,270,0.937,495.5,344.0,1.58,10.00,2684.42
67,2026-01-05T14:27:19.839,2241.7,1,person,354,210,285,268,0.939,496.5,344.0,1.00,6.32,2690.75
68,2026-01-05T14:27:19.872,2274.7,1,person,356,212,283,267,0.942,497.5,345.5,1.80,11.40,2702.15
69,2026-01-05T14:27:19.912,2314.2,1,person,357,212,282,266,0.942,498.0,345.0,0.71,4.47,2706.62
70,2026-01-05T14:27:19.945,2347.2,1,person,357,212,282,267,0.933,498.0,345.5,0.50,3.16,2709.78
71,2026-01-05T14:27:19.976,2378.2,1,person,357,211,282,267,0.924,498.0,344.5,1.00,6.32,2716.11
72,2026-01-05T14:27:20.008,2410.2,1,person,357,211,282,267,0.913,498.0,344.5,0.00,0.00,2716.11
73,2026-01-05T14:27:20.040,2442.2,1,person,357,211,282,267,0.915,498.0,344.5,0.00,0.00,2716.11
74,2026-01-05T14:27:20.074,2476.5,1,person,356,211,283,268,0.933,497.5,345.0,0.71,4.47,2720.58
75,2026-01-05T14:27:20.107,2509.5,1,person,355,210,284,269,0.935,497.0,344.5,0.71,4.47,2725.05
76,2026-01-05T14:27:20.141,2543.5,1,person,354,208,285,271,0.927,496.5,343.5,1.12,7.07,2732.12
77,2026-01-05T14:27:20.175,2577.5,1,person,353,206,286,273,0.932,496.0,342.5,1.12,7.07,2739.19
78,2026-01-05T14:27:20.211,2613.5,1,person,352,204,287,275,0.937,495.5,341.5,1.12,7.07,2746.26
79,2026-01-05T14:27:20.244,2646.5,1,person,350,202,289,276,0.923,494.5,340.0,1.80,11.40,2757.66
80,2026-01-05T14:27:20.287,2689.2,1,person,351,200,288,278,0.865,495.0,339.0,1.12,7.07,2764.73
81,2026-01-05T14:27:20.321,2723.2,1,person,347,197,292,281,0.915,493.0,337.5,2.50,15.81,2780.54
82,2026-01-05T14:27:20.355,2757.2,1,person,344,194,295,285,0.918,491.5,336.5,1.80,11.40,2791.95
83,2026-01-05T14:27:20.386,2788.2,1,person,341,190,298,288,0.927,490.0,334.0,2.92,18.44,2810.38
84,2026-01-05T14:27:20.418,2820.2,1,person,338,186,301,292,0.906,488.5,332.0,2.50,15.81,2826.19
85,2026-01-05T14:27:20.451,2853.2,1,person,335,183,304,296,0.883,487.0,331.0,1.80,11.40,2837.60
86,2026-01-05T14:27:20.486,2888.2,1,person,330,178,309,301,0.910,484.5,328.5,3.54,22.36,2859.95
87,2026-01-05T14:27:20.532,2934.7,1,person,324,173,315,305,0.921,481.5,325.5,4.24,26.83,2886.79
88,2026-01-05T14:27:20.567,2969.7,1,person,319,170,320,309,0.931,479.0,324.5,2.69,17.03,2903.81
89,2026-01-05T14:27:20.602,3004.7,1,person,312,163,327,315,0.915,475.5,320.5,5.32,33.61,2937.43
90,2026-01-05T14:27:20.637,3039.7,1,person,306,158,333,320,0.912,472.5,318.0,3.91,24.70,2962.13
91,2026-01-05T14:27:20.680,3082.9,1,person,299,152,339,326,0.913,468.5,315.0,5.00,31.62,2993.75
92,2026-01-05T14:27:20.712,3114.9,1,person,293,148,344,331,0.919,465.0,313.5,3.81,24.08,3017.83
93,2026-01-05T14:27:20.746,3148.9,1,person,288,144,348,335,0.897,462.0,311.5,3.61,22.80,3040.63
94,2026-01-05T14:27:20.779,3181.4,1,person,283,139,353,339,0.885,459.5,308.5,3.91,24.70,3065.33
95,2026-01-05T14:27:20.814,3216.4,1,person,278,135,358,343,0.908,457.0,306.5,3.20,20.25,3085.57
96,2026-01-05T14:27:20.849,3251.4,1,person,273,132,362,346,0.897,454.0,305.0,3.35,21.21,3106.79
97,2026-01-05T14:27:20.884,3286.4,1,person,268,128,367,350,0.897,451.5,303.0,3.20,20.25,3127.03
98,2026-01-05T14:27:20.917,3319.4,1,person,264,125,371,354,0.920,449.5,302.0,2.24,14.14,3141.18
99,2026-01-05T14:27:20.949,3351.4,1,person,262,120,376,359,0.919,450.0,299.5,2.55,16.12,3157.30
100,2026-01-05T14:27:20.984,3386.4,1,person,258,114,381,364,0.895,448.5,296.0,3.81,24.08,3181.38
101,2026-01-05T14:27:21.018,3420.4,1,person,254,107,385,371,0.891,446.5,292.5,4.03,25.49,3206.87
102,2026-01-05T14:27:21.053,3455.3,1,person,251,100,388,378,0.889,445.0,289.0,3.81,24.08,3230.96
103,2026-01-05T14:27:21.086,3488.3,1,person,250,95,389,383,0.789,444.5,286.5,2.55,16.12,3247.08
104,2026-01-05T14:27:21.118,3520.3,1,person,255,88,384,391,0.744,447.0,283.5,3.91,24.70,3271.78
105,2026-01-05T14:27:21.150,3552.3,1,person,254,81,385,397,0.851,446.5,279.5,4.03,25.49,3297.27
106,2026-01-05T14:27:21.184,3586.3,1,person,254,70,385,408,0.883,446.5,274.0,5.50,34.78,3332.05
107,2026-01-05T14:27:21.217,3619.3,1,person,257,61,382,417,0.909,448.0,269.5,4.74,30.00,3362.05
108,2026-01-05T14:27:21.249,3651.3,1,person,261,52,378,426,0.912,450.0,265.0,4.92,31.14,3393.20
109,2026-01-05T14:27:21.284,3686.8,1,person,264,40,375,438,0.892,451.5,259.0,6.18,39.11,3432.31
110,2026-01-05T14:27:21.320,3722.8,1,person,269,29,370,449,0.864,454.0,253.5,6.04,38.21,3470.52
111,2026-01-05T14:27:21.358,3760.8,1,person,272,17,367,461,0.888,455.5,247.5,6.18,39.11,3509.63
112,2026-01-05T14:27:21.396,3798.8,1,person,278,4,361,473,0.893,458.5,240.5,7.62,48.16,3557.79
113,2026-01-05T14:27:21.435,3837.3,1,person,286,0,353,479,0.878,462.5,239.5,4.12,26.08,3583.87
114,2026-01-05T14:27:21.472,3874.3,1,person,295,0,344,479,0.877,467.0,239.5,4.50,28.46,3612.33
115,2026-01-05T14:27:21.508,3910.3,1,person,305,0,334,479,0.865,472.0,239.5,5.00,31.62,3643.95
116,2026-01-05T14:27:21.542,3944.3,1,person,314,0,325,478,0.884,476.5,239.0,4.53,28.63,3672.58
117,2026-01-05T14:27:21.580,3982.3,1,person,321,0,318,478,0.850,480.0,239.0,3.50,22.13,3694.72
118,2026-01-05T14:27:21.617,4019.3,1,person,325,0,314,478,0.839,482.0,239.0,2.00,12.65,3707.37
119,2026-01-05T14:27:21.653,4055.3,1,person,329,0,310,479,0.842,484.0,239.5,2.06,13.04,3720.40
120,2026-01-05T14:27:21.691,4093.7,1,person,331,0,308,478,0.854,485.0,239.0,1.12,7.07,3727.47
121,2026-01-05T14:27:21.728,4130.7,1,person,333,0,306,478,0.796,486.0,239.0,1.00,6.32,3733.80
122,2026-01-05T14:27:21.763,4165.7,1,person,335,0,304,478,0.869,487.0,239.0,1.00,6.32,3740.12
123,2026-01-05T14:27:21.801,4203.7,1,person,337,0,302,479,0.830,488.0,239.5,1.12,7.07,3747.19
124,2026-01-05T14:27:21.840,4242.7,1,person,340,0,299,478,0.833,489.5,239.0,1.58,10.00,3757.19
125,2026-01-05T14:27:21.880,4282.7,1,person,343,0,296,479,0.808,491.0,239.5,1.58,10.00,3767.19
126,2026-01-05T14:27:21.915,4317.7,1,person,349,0,290,479,0.819,494.0,239.5,3.00,18.97,3786.16
127,2026-01-05T14:27:21.949,4351.7,1,person,353,0,286,479,0.842,496.0,239.5,2.00,12.65,3798.81
128,2026-01-05T14:27:21.985,4387.7,1,person,354,0,285,479,0.641,496.5,239.5,0.50,3.16,3801.97
129,2026-01-05T14:27:22.022,4424.7,1,person,354,0,285,479,0.681,496.5,239.5,0.00,0.00,3801.97
130,2026-01-05T14:27:22.059,4461.7,1,person,355,0,284,479,0.717,497.0,239.5,0.50,3.16,3805.14
131,2026-01-05T14:27:22.097,4499.7,1,dog,356,0,283,479,0.594,497.5,239.5,0.50,3.16,3808.30
132,2026-01-05T14:27:22.134,4536.7,1,person,356,1,283,478,0.828,497.5,240.0,0.50,3.16,3811.46
133,2026-01-05T14:27:22.171,4573.7,1,person,356,1,283,477,0.781,497.5,239.5,0.50,3.16,3814.62
134,2026-01-05T14:27:22.215,4617.7,1,person,352,0,287,478,0.812,495.5,239.0,2.06,13.04,3827.66
135,2026-01-05T14:27:22.251,4653.7,1,person,351,1,288,477,0.864,495.0,239.5,0.71,4.47,3832.13
136,2026-01-05T14:27:22.286,4689.0,1,person,346,0,289,477,0.871,490.5,238.5,4.61,29.15,3861.29
137,2026-01-05T14:27:22.327,4730.0,1,person,339,0,291,477,0.846,484.5,238.5,6.00,37.95,3899.23
138,2026-01-05T14:27:22.361,4764.0,1,person,333,0,294,478,0.853,480.0,239.0,4.53,28.63,3927.87
139,2026-01-05T14:27:22.395,4798.0,1,person,329,0,297,479,0.862,477.5,239.5,2.55,16.12,3943.99
140,2026-01-05T14:27:22.431,4834.0,1,person,323,0,300,478,0.817,473.0,239.0,4.53,28.63,3972.62
141,2026-01-05T14:27:22.468,4871.0,1,person,318,11,299,467,0.807,467.5,244.5,7.78,49.19,4021.81
142,2026-01-05T14:27:22.504,4907.0,1,person,313,26,296,452,0.832,461.0,252.0,9.92,62.77,4084.58
143,2026-01-05T14:27:22.539,4942.0,1,person,278,48,286,430,0.731,421.0,263.0,41.48,262.36,4346.94
144,2026-01-05T14:27:22.583,4986.0,1,person,262,63,278,416,0.849,401.0,271.0,21.54,136.23,4483.17
145,2026-01-05T14:27:22.621,5023.5,1,person,245,75,270,404,0.891,380.0,277.0,21.84,138.12,4621.29
146,2026-01-05T14:27:22.658,5060.5,1,person,233,84,262,395,0.899,364.0,281.5,16.62,105.11,4726.40
147,2026-01-05T14:27:22.696,5098.5,1,person,220,92,256,387,0.903,348.0,285.5,16.49,104.30,4830.70
148,2026-01-05T14:27:22.732,5134.5,1,person,205,99,251,380,0.873,330.5,289.0,17.85,112.87,4943.57
149,2026-01-05T14:27:22.769,5171.5,1,person,195,106,245,373,0.872,317.5,292.5,13.46,85.14,5028.71
150,2026-01-05T14:27:22.806,5208.5,1,person,186,110,241,369,0.842,306.5,294.5,11.18,70.71,5099.42
151,2026-01-05T14:27:22.842,5244.5,1,person,179,115,237,364,0.897,297.5,297.0,9.34,59.07,5158.49
152,2026-01-05T14:27:22.879,5281.5,1,person,166,122,231,357,0.812,281.5,300.5,16.38,103.58,5262.07
153,2026-01-05T14:27:22.914,5316.5,1,person,156,126,227,353,0.848,269.5,302.5,12.17,76.94,5339.01
154,2026-01-05T14:27:22.950,5352.5,1,person,146,128,225,350,0.875,258.5,303.0,11.01,69.64,5408.65
155,2026-01-05T14:27:22.985,5387.5,1,person,123,130,227,348,0.838,236.5,304.0,22.02,139.28,5547.92
156,2026-01-05T14:27:23.020,5422.5,1,person,108,132,230,346,0.748,223.0,305.0,13.54,85.61,5633.53
157,2026-01-05T14:27:23.053,5455.5,1,person,89,133,234,345,0.848,206.0,305.5,17.01,107.56,5741.09
158,2026-01-05T14:27:23.087,5489.5,1,person,63,133,241,345,0.858,183.5,305.5,22.50,142.29,5883.39
159,2026-01-05T14:27:23.121,5523.5,1,person,52,134,246,344,0.888,175.0,306.0,8.51,53.85,5937.24
160,2026-01-05T14:27:23.156,5558.5,1,person,42,133,251,345,0.873,167.5,305.5,7.52,47.54,5984.77
161,2026-01-05T14:27:23.189,5591.5,1,person,28,133,256,345,0.941,156.0,305.5,11.50,72.73,6057.50
162,2026-01-05T14:27:23.221,5623.5,1,person,18,134,259,344,0.955,147.5,306.0,8.51,53.85,6111.35
163,2026-01-05T14:27:23.258,5660.5,1,person,11,134,262,344,0.951,142.0,306.0,5.50,34.78,6146.13
164,2026-01-05T14:27:23.292,5694.5,1,person,8,136,263,342,0.947,139.5,307.0,2.69,17.03,6163.16
165,2026-01-05T14:27:23.325,5727.5,1,person,4,136,265,342,0.954,136.5,307.0,3.00,18.97,6182.13
166,2026-01-05T14:27:23.360,5762.5,1,person,2,137,265,342,0.931,134.5,308.0,2.24,14.14,6196.28
167,2026-01-05T14:27:23.394,5796.5,1,person,2,142,263,337,0.923,133.5,310.5,2.69,17.03,6213.30
168,2026-01-05T14:27:23.428,5830.5,1,person,2,146,260,332,0.947,132.0,312.0,2.12,13.42,6226.72
169,2026-01-05T14:27:23.462,5864.5,1,person,3,151,258,328,0.937,132.0,315.0,3.00,18.97,6245.69
170,2026-01-05T14:27:23.495,5897.5,1,person,4,156,256,323,0.935,132.0,317.5,2.50,15.81,6261.50
171,2026-01-05T14:27:23.529,5931.5,1,person,6,163,252,315,0.915,132.0,320.5,3.00,18.97,6280.48
172,2026-01-05T14:27:23.561,5963.5,1,person,9,170,249,308,0.896,133.5,324.0,3.81,24.08,6304.56
173,2026-01-05T14:27:23.596,5998.5,1,person,12,177,247,301,0.879,135.5,327.5,4.03,25.49,6330.05
174,2026-01-05T14:27:23.628,6030.5,1,person,14,183,246,296,0.920,137.0,331.0,3.81,24.08,6354.13
175,2026-01-05T14:27:23.663,6065.5,1,person,16,188,246,291,0.925,139.0,333.5,3.20,20.25,6374.38
176,2026-01-05T14:27:23.697,6099.5,1,person,18,192,246,286,0.913,141.0,335.0,2.50,15.81,6390.19
177,2026-01-05T14:27:23.731,6133.5,1,person,19,196,248,283,0.857,143.0,337.5,3.20,20.25,6410.44
178,2026-01-05T14:27:23.767,6170.0,1,person,19,199,249,279,0.908,143.5,338.5,1.12,7.07,6417.51
179,2026-01-05T14:27:23.801,6203.5,1,person,20,204,249,274,0.912,144.5,341.0,2.69,17.03,6434.54
180,2026-01-05T14:27:23.836,6238.5,1,person,21,209,249,269,0.922,145.5,343.5,2.69,17.03,6451.57
181,2026-01-05T14:27:23.872,6274.5,1,person,21,214,249,265,0.905,145.5,346.5,3.00,18.97,6470.54
182,2026-01-05T14:27:23.906,6308.5,1,person,21,217,251,261,0.917,146.5,347.5,1.41,8.94,6479.48
183,2026-01-05T14:27:23.940,6342.5,1,person,20,219,253,259,0.928,146.5,348.5,1.00,6.32,6485.81
184,2026-01-05T14:27:23.973,6375.7,1,person,19,222,255,257,0.934,146.5,350.5,2.00,12.65,6498.45
185,2026-01-05T14:27:24.006,6408.7,1,person,18,225,255,254,0.925,145.5,352.0,1.80,11.40,6509.86
186,2026-01-05T14:27:24.039,6441.7,1,person,18,229,255,250,0.919,145.5,354.0,2.00,12.65,6522.50
187,2026-01-05T14:27:24.074,6476.7,1,person,18,234,254,245,0.923,145.0,356.5,2.55,16.12,6538.63
188,2026-01-05T14:27:24.106,6508.7,1,person,18,236,254,242,0.915,145.0,357.0,0.50,3.16,6541.79
189,2026-01-05T14:27:24.152,6554.1,1,person,18,239,254,240,0.903,145.0,359.0,2.00,12.65,6554.44
190,2026-01-05T14:27:24.184,6586.1,1,person,19,243,252,236,0.896,145.0,361.0,2.00,12.65,6567.09
191,2026-01-05T14:27:24.216,6618.1,1,person,24,245,250,233,0.903,149.0,361.5,4.03,25.49,6592.58
192,2026-01-05T14:27:24.248,6650.1,1,person,27,248,249,231,0.886,151.5,363.5,3.20,20.25,6612.83
193,2026-01-05T14:27:24.281,6683.1,1,person,32,251,246,228,0.905,155.0,365.0,3.81,24.08,6636.91
194,2026-01-05T14:27:24.313,6715.1,1,person,35,254,242,224,0.909,156.0,366.0,1.41,8.94,6645.85
195,2026-01-05T14:27:24.346,6748.1,1,person,38,257,239,221,0.904,157.5,367.5,2.12,13.42,6659.27
196,2026-01-05T14:27:24.381,6783.3,1,person,40,260,237,219,0.903,158.5,369.5,2.24,14.14,6673.41
197,2026-01-05T14:27:24.413,6815.3,1,person,38,262,236,217,0.868,156.0,370.5,2.69,17.03,6690.44
198,2026-01-05T14:27:24.444,6846.3,1,person,41,264,234,215,0.892,158.0,371.5,2.24,14.14,6704.58
199,2026-01-05T14:27:24.475,6877.3,1,person,44,265,232,213,0.875,160.0,371.5,2.00,12.65,6717.23
200,2026-01-05T14:27:24.520,6922.3,1,person,49,267,230,212,0.862,164.0,373.0,4.27,27.02,6744.25
201,2026-01-05T14:27:24.551,6953.3,1,person,57,269,227,210,0.875,170.5,374.0,6.58,41.59,6785.84
202,2026-01-05T14:27:24.584,6986.3,1,person,62,269,225,209,0.858,174.5,373.5,4.03,25.49,6811.33
203,2026-01-05T14:27:24.616,7018.8,1,person,72,270,221,208,0.861,182.5,374.0,8.02,50.69,6862.02
204,2026-01-05T14:27:24.651,7053.8,1,person,78,271,217,207,0.882,186.5,374.5,4.03,25.49,6887.52
205,2026-01-05T14:27:24.684,7086.8,1,person,81,272,215,207,0.886,188.5,375.5,2.24,14.14,6901.66
206,2026-01-05T14:27:24.718,7120.8,1,person,87,274,211,205,0.840,192.5,376.5,4.12,26.08,6927.73
207,2026-01-05T14:27:24.750,7152.8,1,person,101,276,205,203,0.859,203.5,377.5,11.05,69.85,6997.59
208,2026-01-05T14:27:24.782,7184.8,1,person,110,277,200,202,0.891,210.0,378.0,6.52,41.23,7038.81
209,2026-01-05T14:27:24.814,7216.8,1,person,115,278,196,201,0.915,213.0,378.5,3.04,19.23,7058.05
210,2026-01-05T14:27:24.848,7250.8,1,person,118,279,192,200,0.917,214.0,379.0,1.12,7.07,7065.12
211,2026-01-05T14:27:24.882,7284.8,1,person,121,280,189,199,0.915,215.5,379.5,1.58,10.00,7075.12
212,2026-01-05T14:27:24.919,7321.8,1,person,123,281,187,198,0.909,216.5,380.0,1.12,7.07,7082.19
213,2026-01-05T14:27:24.954,7356.8,1,person,124,281,185,198,0.903,216.5,380.0,0.00,0.00,7082.19
214,2026-01-05T14:27:24.987,7389.8,1,person,126,283,182,196,0.913,217.0,381.0,1.12,7.07,7089.26
215,2026-01-05T14:27:25.018,7420.8,1,person,128,285,180,194,0.913,218.0,382.0,1.41,8.94,7098.20
216,2026-01-05T14:27:25.052,7454.8,1,person,131,287,177,192,0.911,219.5,383.0,1.80,11.40,7109.61
217,2026-01-05T14:27:25.085,7487.8,1,person,134,289,175,190,0.915,221.5,384.0,2.24,14.14,7123.75
218,2026-01-05T14:27:25.119,7521.8,1,person,137,292,172,187,0.906,223.0,385.5,2.12,13.42,7137.16
219,2026-01-05T14:27:25.154,7556.6,1,person,139,294,170,185,0.911,224.0,386.5,1.41,8.94,7146.11
220,2026-01-05T14:27:25.186,7588.6,1,person,140,296,169,183,0.908,224.5,387.5,1.12,7.07,7153.18
221,2026-01-05T14:27:25.220,7622.6,1,person,143,298,168,181,0.905,227.0,388.5,2.69,17.03,7170.21
222,2026-01-05T14:27:25.254,7656.6,1,person,144,300,167,179,0.909,227.5,389.5,1.12,7.07,7177.28
223,2026-01-05T14:27:25.287,7689.6,1,person,146,302,166,177,0.904,229.0,390.5,1.80,11.40,7188.68
224,2026-01-05T14:27:25.320,7722.6,1,person,147,303,166,176,0.904,230.0,391.0,1.12,7.07,7195.75
225,2026-01-05T14:27:25.351,7754.1,1,person,146,305,166,174,0.906,229.0,392.0,1.41,8.94,7204.69
226,2026-01-05T14:27:25.383,7786.1,1,person,146,306,166,172,0.905,229.0,392.0,0.00,0.00,7204.69
227,2026-01-05T14:27:25.416,7819.1,1,person,145,307,167,171,0.909,228.5,392.5,0.71,4.47,7209.16
228,2026-01-05T14:27:25.450,7853.1,1,person,144,307,168,171,0.904,228.0,392.5,0.50,3.16,7212.33
229,2026-01-05T14:27:25.484,7887.1,1,person,144,308,169,171,0.898,228.5,393.5,1.12,7.07,7219.40
230,2026-01-05T14:27:25.520,7923.1,1,person,143,308,170,170,0.907,228.0,393.0,0.71,4.47,7223.87
231,2026-01-05T14:27:25.552,7955.1,1,person,142,308,171,170,0.907,227.5,393.0,0.50,3.16,7227.03
232,2026-01-05T14:27:25.585,7988.1,1,person,140,308,172,171,0.898,226.0,393.5,1.58,10.00,7237.03
233,2026-01-05T14:27:25.616,8019.1,1,person,137,307,174,172,0.875,224.0,393.0,2.06,13.04,7250.07
