# GLIDER Tracking Data
# Experiment,Untitled Experiment
# Start Time,2026-01-05T14:27:17.597861
# Calibration,Not calibrated (distances in pixels)

frame,timestamp,elapsed_ms,object_id,class,x,y,w,h,confidence,center_x,center_y,distance_px,distance_mm,cumulative_mm
1,2026-01-05T14:27:17.580,-17.4,1,person,19,257,367,221,0.915,202.5,367.5,0.00,0.00,0.00
2,2026-01-05T14:27:17.625,28.0,1,person,14,257,370,222,0.910,199.0,368.0,3.54,22.36,22.36
3,2026-01-05T14:27:17.659,62.0,1,person,13,256,373,222,0.904,199.5,367.0,1.12,7.07,29.43
4,2026-01-05T14:27:17.692,95.0,1,person,17,256,375,223,0.885,204.5,367.5,5.02,31.78,61.21
5,2026-01-05T14:27:17.724,127.0,1,person,25,255,375,224,0.867,212.5,367.0,8.02,50.69,111.90
6,2026-01-05T14:27:17.757,160.0,1,person,24,254,376,225,0.868,212.0,366.5,0.71,4.47,116.37
7,2026-01-05T14:27:17.789,192.0,1,person,27,253,377,226,0.870,215.5,366.0,3.54,22.36,138.73
8,2026-01-05T14:27:17.823,226.0,1,person,27,251,378,227,0.863,216.0,364.5,1.58,10.00,148.73
9,2026-01-05T14:27:17.856,259.0,1,person,30,251,378,228,0.856,219.0,365.0,3.04,19.23,167.97
10,2026-01-05T14:27:17.890,293.0,1,person,32,250,379,229,0.847,221.5,364.5,2.55,16.12,184.09
11,2026-01-05T14:27:17.922,325.0,1,person,36,249,378,230,0.824,225.0,364.0,3.54,22.36,206.45
12,2026-01-05T14:27:17.956,359.0,1,person,42,248,376,231,0.859,230.0,363.5,5.02,31.78,238.23
13,2026-01-05T14:27:17.990,393.0,1,person,46,247,376,232,0.853,234.0,363.0,4.03,25.49,263.72
14,2026-01-05T14:27:18.024,427.0,1,person,48,246,375,233,0.867,235.5,362.5,1.58,10.00,273.72
15,2026-01-05T14:27:18.058,461.0,1,person,52,246,374,233,0.855,239.0,362.5,3.50,22.13,295.86
16,2026-01-05T14:27:18.095,497.3,1,person,51,245,375,234,0.838,238.5,362.0,0.71,4.47,300.33
17,2026-01-05T14:27:18.129,531.3,1,person,51,242,379,236,0.846,240.5,360.0,2.83,17.89,318.22
18,2026-01-05T14:27:18.164,566.3,1,person,58,241,379,237,0.858,247.5,359.5,7.02,44.38,362.60
19,2026-01-05T14:27:18.201,603.3,1,person,60,238,384,241,0.868,252.0,358.5,4.61,29.15,391.75
20,2026-01-05T14:27:18.240,642.3,1,person,65,232,391,246,0.897,260.5,355.0,9.19,58.13,449.89
21,2026-01-05T14:27:18.275,677.3,1,person,70,227,399,251,0.896,269.5,352.5,9.34,59.07,508.96
