# GLIDER Experiment Data,,,,
# Experiment Name,Untitled Experiment,,,
# Start Time,2025-12-30T12:03:35.926117,,,
# Sample Interval (s),0.1,,,
,,,,
# Boards,,,,
#,Arduino,telemetrix,Connected,
,,,,
# Devices,,,,
#,led_1,DigitalOutput,board=Arduino,output=13
#,input,AnalogInput,board=Arduino,input=0
,,,,
timestamp,elapsed_ms,led_1:DigitalOutput,input:AnalogInput,
2025-12-30T12:03:49.213,13287.5,0,0,
2025-12-30T12:03:49.321,13395.2,0,0,
2025-12-30T12:03:49.436,13510.1,0,0,
2025-12-30T12:03:49.545,13619.9,0,0,
2025-12-30T12:03:49.648,13722.5,0,0,
2025-12-30T12:03:49.759,13833.1,0,0,
2025-12-30T12:03:49.868,13941.9,0,0,
2025-12-30T12:03:49.977,14051.2,0,0,
2025-12-30T12:03:50.086,14160.7,0,0,
2025-12-30T12:03:50.197,14271.7,0,0,
2025-12-30T12:03:50.315,14389.3,0,0,
2025-12-30T12:03:50.417,14491.6,0,0,
2025-12-30T12:03:50.522,14596.5,0,0,
2025-12-30T12:03:50.636,14710.5,0,0,
2025-12-30T12:03:50.752,14826,0,0,
2025-12-30T12:03:50.855,14928.9,0,0,
2025-12-30T12:03:50.964,15038.8,0,0,
2025-12-30T12:03:51.069,15143.8,0,0,
2025-12-30T12:03:51.193,15267.4,0,0,
2025-12-30T12:03:51.304,15378.6,0,0,
2025-12-30T12:03:51.398,15472.2,0,0,
2025-12-30T12:03:51.509,15583.5,0,0,
2025-12-30T12:03:51.620,15694.5,0,0,
2025-12-30T12:03:51.732,15806.3,0,0,
2025-12-30T12:03:51.841,15915.3,0,0,
2025-12-30T12:03:51.953,16027.1,0,0,
2025-12-30T12:03:52.064,16138.1,0,0,
2025-12-30T12:03:52.175,16249.1,0,0,
2025-12-30T12:03:52.286,16359.9,0,0,
2025-12-30T12:03:52.382,16456.5,0,0,
2025-12-30T12:03:52.503,16577.2,0,0,
2025-12-30T12:03:52.612,16686.8,0,0,
2025-12-30T12:03:52.725,16799.1,0,0,
2025-12-30T12:03:52.824,16898.5,0,0,
2025-12-30T12:03:52.940,17014.2,0,0,
2025-12-30T12:03:53.048,17122.1,0,0,
2025-12-30T12:03:53.152,17226.4,0,0,
2025-12-30T12:03:53.262,17336,0,0,
2025-12-30T12:03:53.376,17450.3,0,0,
2025-12-30T12:03:53.479,17553.6,0,0,
2025-12-30T12:03:53.597,17671.3,0,0,
2025-12-30T12:03:53.699,17773.6,0,0,
2025-12-30T12:03:53.810,17884.6,0,0,
2025-12-30T12:03:53.922,17996.2,0,0,
2025-12-30T12:03:54.034,18108.1,0,0,
2025-12-30T12:03:54.133,18207.5,0,0,
2025-12-30T12:03:54.244,18318.7,0,0,
2025-12-30T12:03:54.352,18425.9,0,0,
2025-12-30T12:03:54.460,18534.5,0,0,
2025-12-30T12:03:54.575,18649.7,0,0,
2025-12-30T12:03:54.680,18754.1,0,0,
2025-12-30T12:03:54.795,18869.7,0,0,
2025-12-30T12:03:54.909,18983.3,0,0,
2025-12-30T12:03:55.018,19092.5,0,0,
2025-12-30T12:03:55.128,19202.2,0,0,
2025-12-30T12:03:55.239,19313.2,0,0,
2025-12-30T12:03:55.340,19414.3,0,0,
2025-12-30T12:03:55.455,19529.1,0,0,
2025-12-30T12:03:55.558,19632.1,0,0,
2025-12-30T12:03:55.666,19740.9,0,0,
2025-12-30T12:03:55.777,19851.4,0,0,
2025-12-30T12:03:55.892,19966.2,0,0,
2025-12-30T12:03:55.993,20067.4,0,0,
2025-12-30T12:03:56.111,20185.8,0,0,
2025-12-30T12:03:56.222,20296,0,0,
2025-12-30T12:03:56.333,20407.8,0,0,
2025-12-30T12:03:56.444,20518.4,0,0,
2025-12-30T12:03:56.540,20614,0,0,
2025-12-30T12:03:56.648,20722.8,0,0,
2025-12-30T12:03:56.757,20831.8,0,0,
2025-12-30T12:03:56.872,20946.8,0,0,
2025-12-30T12:03:56.976,21050.3,0,0,
2025-12-30T12:03:57.092,21166.1,0,0,
2025-12-30T12:03:57.200,21274.4,0,0,
2025-12-30T12:03:57.309,21383.3,0,0,
2025-12-30T12:03:57.428,21502.4,0,0,
2025-12-30T12:03:57.526,21600.5,0,0,
2025-12-30T12:03:57.635,21709.4,0,0,
2025-12-30T12:03:57.746,21819.9,0,0,
2025-12-30T12:03:57.856,21930.6,0,0,
2025-12-30T12:03:57.967,22041.2,0,0,
2025-12-30T12:03:58.077,22151.6,0,0,
2025-12-30T12:03:58.188,22262.4,0,0,
2025-12-30T12:03:58.299,22373.1,0,0,
2025-12-30T12:03:58.410,22484.7,0,0,
2025-12-30T12:03:58.521,22595.5,0,0,
2025-12-30T12:03:58.629,22703.2,0,0,
2025-12-30T12:03:58.729,22803.2,0,0,
2025-12-30T12:03:58.840,22914.7,0,0,
2025-12-30T12:03:58.951,23025.7,0,0,
2025-12-30T12:03:59.062,23136.6,0,0,
2025-12-30T12:03:59.165,23239.6,0,0,
2025-12-30T12:03:59.272,23346.5,0,0,
2025-12-30T12:03:59.392,23466.4,0,0,
2025-12-30T12:03:59.505,23578.9,0,0,
2025-12-30T12:03:59.614,23688.4,0,0,
2025-12-30T12:03:59.725,23799.2,0,0,
2025-12-30T12:03:59.822,23896.5,0,0,
2025-12-30T12:03:59.944,24018.4,0,0,
2025-12-30T12:04:00.049,24123.2,0,0,
2025-12-30T12:04:00.160,24234.9,0,0,
2025-12-30T12:04:00.271,24345.9,0,0,
2025-12-30T12:04:00.367,24441.5,0,0,
2025-12-30T12:04:00.479,24553.5,0,0,
2025-12-30T12:04:00.588,24662.1,0,0,
2025-12-30T12:04:00.697,24771.7,0,0,
2025-12-30T12:04:00.813,24887.1,0,0,
2025-12-30T12:04:00.921,24995.5,0,0,
2025-12-30T12:04:01.025,25099.2,0,0,
2025-12-30T12:04:01.150,25224.5,0,0,
2025-12-30T12:04:01.260,25334.1,0,0,
2025-12-30T12:04:01.372,25446.6,0,0,
2025-12-30T12:04:01.484,25558.2,0,0,
2025-12-30T12:04:01.595,25669.5,0,0,
2025-12-30T12:04:01.697,25771.3,0,0,
2025-12-30T12:04:01.807,25881.1,0,0,
2025-12-30T12:04:01.915,25989.9,0,0,
2025-12-30T12:04:02.024,26098.5,0,0,
2025-12-30T12:04:02.139,26213.6,0,0,
2025-12-30T12:04:02.244,26318.4,0,0,
2025-12-30T12:04:02.352,26426.8,0,0,
2025-12-30T12:04:02.461,26535,0,0,
2025-12-30T12:04:02.582,26656,0,0,
2025-12-30T12:04:02.692,26766.4,0,0,
2025-12-30T12:04:02.803,26877,0,0,
2025-12-30T12:04:02.898,26972,0,0,
2025-12-30T12:04:03.015,27089.8,0,0,
2025-12-30T12:04:03.122,27196,0,0,
2025-12-30T12:04:03.237,27311.7,0,0,
2025-12-30T12:04:03.346,27420.1,0,0,
2025-12-30T12:04:03.448,27522.7,0,0,
2025-12-30T12:04:03.558,27632.1,0,0,
2025-12-30T12:04:03.674,27747.9,0,0,
2025-12-30T12:04:03.774,27848.2,0,0,
2025-12-30T12:04:03.885,27958.9,0,0,
2025-12-30T12:04:03.996,28070,0,0,
2025-12-30T12:04:04.106,28180.8,0,0,
2025-12-30T12:04:04.217,28291.9,0,0,
2025-12-30T12:04:04.329,28403.9,0,0,
2025-12-30T12:04:04.440,28514.4,0,0,
2025-12-30T12:04:04.551,28625.7,0,0,
2025-12-30T12:04:04.662,28736.6,0,0,
2025-12-30T12:04:04.757,28831.5,0,0,
2025-12-30T12:04:04.868,28942.1,0,0,
2025-12-30T12:04:04.989,29063,0,0,
2025-12-30T12:04:05.087,29161.5,0,0,
2025-12-30T12:04:05.198,29272.7,0,0,
2025-12-30T12:04:05.310,29384.2,0,0,
2025-12-30T12:04:05.421,29495.2,0,0,
2025-12-30T12:04:05.527,29601.5,0,0,
2025-12-30T12:04:05.637,29711,0,0,
2025-12-30T12:04:05.752,29826.5,0,0,
2025-12-30T12:04:05.854,29928.8,0,0,
2025-12-30T12:04:05.963,30037.8,0,0,
2025-12-30T12:04:06.075,30148.9,0,0,
2025-12-30T12:04:06.189,30263.6,0,0,
2025-12-30T12:04:06.292,30366.5,0,0,
2025-12-30T12:04:06.403,30477.8,0,0,
2025-12-30T12:04:06.515,30589.4,0,0,
2025-12-30T12:04:06.626,30700.8,0,0,
2025-12-30T12:04:06.733,30807.2,0,0,
2025-12-30T12:04:06.836,30910.5,0,0,
